fonte,termo,ocorrencias
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,arterial,2
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,coracao,2
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,historico,2
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,linguagem,2
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,pressao,2
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,sintomas,2
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,abordagens,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,atual,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,cardioia,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,comparar,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,condutas,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,conhecidas,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,contemporanea,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,corpus,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,descricoes,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,descritos,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,discute,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,disturbios,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,entidades,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,epoca,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,eram,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,esforco,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,experimento,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,fisiologicas,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,historica,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,identificar,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,inicio,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,medica,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,medicamentos,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,medidas,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,medir,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,mudancas,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,nao,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,natural,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,obra,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,observar,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,orientacao,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,outra,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,possivel,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,processamento,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,relacionadas,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,relevante,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,ritmo,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,seculo,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,sinais,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,terapeuticas,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,terminologicas,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,terminologico,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,texto,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,tratamento,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,usadas,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_01_disturbances_of_the_heart_contexto.txt,vocabulario,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,idade,4
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,arterias,2
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,coracao,2
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,doencas,2
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,sintomas,2
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,texto,2
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,ajuda,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,apoiar,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,associados,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,aulas,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,avaliar,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,avancada,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,cardioia,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,cardiovascular,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,cardiovasculares,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,circulacao,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,clinicas,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,comparado,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,comunicar,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,construir,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,corpus,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,cuidado,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,descricoes,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,diferencas,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,dividido,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,extracao,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,fatores,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,foco,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,fonte,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,forma,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,historicas,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,intervencoes,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,meia,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,mudancas,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,nlp,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,obra,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,observacoes,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,pessoas,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,primeiro,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,referencias,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,reune,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,risco,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,semelhancas,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,topicos,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,vocabulario,1
fase-1/cardioia-batimentos-de-dados/assets/textos/texto_02_lettsomian_lectures_contexto.txt,voltado,1
